combo_label,product_family,segment,opp_owner_geo,total_value,n_opportunities,avg_deal,growth_2019_2020,opportunity_score,concentration_risk_score,category
Workforce - C | Enterprise | EMEA,Workforce - C,Enterprise,EMEA,580393.51,13,38692.90066666667,7.436125451869409,0.8273738945549849,0.11521764958153011,Strategic Growth
Workforce - B | Corporate | EMEA,Workforce - B,Corporate,EMEA,316595.25,33,9593.795454545454,3.0952316628616954,0.7839267385756097,0.007812203160680677,Strategic Growth
Workforce - B | Enterprise | EMEA,Workforce - B,Enterprise,EMEA,629937.47,10,62993.746999999996,3.017010922336505,0.7744626455785663,0.17393122674073588,Strategic Growth
Workforce - C | Corporate | EMEA,Workforce - C,Corporate,EMEA,297009.76,26,9281.555,4.061913751349587,0.7194968826157572,0.06375408845787943,Strategic Growth
Workforce - A | Enterprise | EMEA,Workforce - A,Enterprise,EMEA,292844.5,11,17226.147058823528,5.223611799733102,0.7068368037094882,0.12430777490885037,Strategic Growth
Workforce - C | Corporate | APAC,Workforce - C,Corporate,APAC,126432.56,13,7024.031111111111,4.796501369327074,0.6811477195285018,0.09819405238544322,Strategic Growth
Workforce - B | Corporate | APAC,Workforce - B,Corporate,APAC,98506.81,12,8208.900833333333,4.829332942097026,0.6440899584925122,0.10197705431792414,Strategic Growth
CIAM - A | Enterprise | EMEA,CIAM - A,Enterprise,EMEA,907271.46,3,69790.11230769231,1.0,0.6432823270619134,0.36173115019544444,Core / Mature
CIAM - A | Enterprise | AMER,CIAM - A,Enterprise,AMER,467453.5,4,51939.27777777778,1.0,0.6096328615478028,0.2494994641680626,Core / Mature
Workforce - B | Enterprise | AMER,Workforce - B,Enterprise,AMER,616415.95,21,29353.140476190474,-0.08948933970890664,0.5854225656773798,0.05553294868194545,Core / Mature
Workforce - C | Enterprise | AMER,Workforce - C,Enterprise,AMER,694943.16,18,33092.53142857143,-0.5319099003989455,0.566129045494646,0.05611387577680149,Core / Mature
Workforce - A | Corporate | EMEA,Workforce - A,Corporate,EMEA,213858.55,37,4112.6644230769225,0.7854234628112823,0.5599418675255283,0.0,Core / Mature
Workforce - B | Enterprise | APAC,Workforce - B,Enterprise,APAC,167879.13999999998,3,55959.713333333326,0.5651186388727478,0.5582059660022998,0.3351967362196614,Low Priority / Risk
Workforce - A | Enterprise | AMER,Workforce - A,Enterprise,AMER,376483.73,25,9412.09325,-0.4683296251319545,0.5028327073658395,0.02315863899206746,Low Priority / Risk
CIAM - A | Enterprise | APAC,CIAM - A,Enterprise,APAC,138744.65,1,69372.325,1.0,0.4499330001227953,1.0,Low Priority / Risk
Workforce - A | Corporate | APAC,Workforce - A,Corporate,APAC,71603.78,16,3977.987777777778,0.7637669737024181,0.43746167790751617,0.08034945415623884,Low Priority / Risk
Workforce - A | Corporate | AMER,Workforce - A,Corporate,AMER,64162.14,11,4010.13375,0.8784365516981447,0.408547309936538,0.12221535184072128,Low Priority / Risk
Workforce - E | Enterprise | EMEA,Workforce - E,Enterprise,EMEA,33649.23,2,16824.615,1.0,0.4045367035009009,0.5641708610141182,Low Priority / Risk
CIAM - A | Corporate | APAC,CIAM - A,Corporate,APAC,33228.0,1,11076.0,1.0,0.3983962433926528,1.0,Low Priority / Risk
Workforce - B | Corporate | AMER,Workforce - B,Corporate,AMER,127559.17,10,12755.917,-0.3984439798500025,0.3803584841611443,0.18387431761509399,Low Priority / Risk
CIAM - A | Corporate | EMEA,CIAM - A,Corporate,EMEA,221099.68,5,22109.968,-0.4538021978021979,0.35833071583707404,0.3555044696146354,Low Priority / Risk
Workforce - C | Corporate | AMER,Workforce - C,Corporate,AMER,134621.69,10,10355.514615384616,-0.39287512637307725,0.35533836785332057,0.27853906691307073,Low Priority / Risk
Workforce - A | Enterprise | APAC,Workforce - A,Enterprise,APAC,30692.550000000003,2,7673.137500000001,0.03194099452897836,0.3366303834130223,0.47531868706298397,Low Priority / Risk
Workforce - E | Corporate | APAC,Workforce - E,Corporate,APAC,7233.48,3,2411.16,1.0,0.25757580324551915,0.40523071442596353,Low Priority / Risk
